report_year,report_week,district,disease,category,cases,source_pdf,uid
2016,43,Nagpur,Japanese encephalitis,vector-borne,19,432016.pdf,MH/NAG/2016/43/244 0
2016,43,Washim,Measles,air-borne,6,432016.pdf,MH/WAS/2016/43/244 1
2016,45,Washim,Measles,air-borne,7,452016.pdf,MH/WAS/2016/45/249 2
2016,46,Beed,Dengue,vector-borne,8,462016.pdf,MH/BED/2016/46/2512
2016,47,Ratnagiri,Dengue,vector-borne,40,472016.pdf,MH/RTG/2016/47/252 9
2016,48,Nagpur,Dengue,vector-borne,6,482016.pdf,MH/NAG/2016/48/255 9
2016,50,Akola,Chickenpox,air-borne,6,502016.pdf,
2016,50,Dhule,Acute diarrhoeal disease,water-borne,25,502016.pdf,
2016,52,Nagpur,Rubella,air-borne,15,89800766661487223603.pdf,MH/NAG/2016/52/267 1
2017,1,Sindhudurg,Malaria,vector-borne,2,16761928221487223715.pdf,MH/SIN/2017/1/0011
2017,1,Sindhudurg,Measles,air-borne,5,16761928221487223715.pdf,MH/SIN/2017/1/0012
2017,10,Dharashiv,Chickenpox,air-borne,14,102017.pdf,MH/OSM/2017/10/0328
2017,10,Nagpur,Rubella,air-borne,6,102017.pdf,MH/NAG/2017/10/0305
2017,10,Washim,Measles,air-borne,7,102017.pdf,MH/WAS/2017/10/0306
2017,11,Akola,Measles,air-borne,6,112017.pdf,MH/AKL/2017/11/0343
2017,11,Dhule,Measles,air-borne,9,112017.pdf,MH/DHL/2017/11/0344
2017,11,Nagpur,Chickenpox,air-borne,10,112017.pdf,MH/NAG/2017/11/0345
2017,16,Chhatrapati Sambhajinagar,Chickenpox,air-borne,13,162017.pdf,MH/AGB/2017/16/0546
2017,16,Nagpur,Chickenpox,air-borne,19,162017.pdf,MH/NAG/2017/16/0549
2017,16,Wardha,Measles,air-borne,11,162017.pdf,MH/WDH/2017/16/0550
2017,17,Chhatrapati Sambhajinagar,Measles,air-borne,5,172017.pdf,MH/AGB/2017/17/0591
2017,21,Dharashiv,Measles,air-borne,6,212017.pdf,MH/OSM/2017/21/0782
2017,22,Bhandara,Japanese encephalitis,vector-borne,35,76224562731499776651.pdf,MH/BNR/2017/22/0827
2017,23,Sindhudurg,Malaria,vector-borne,93,232017.pdf,MH/SIN/2017/23/0847
2017,24,Satara,Chikungunya,vector-borne,32,242017.pdf,MH/STA/2017/24/0890
2017,25,Yavatmal,Dengue,vector-borne,35,252017.pdf,MH/YVT/2017/25/0933
