report_year,report_week,district,disease,category,cases,source_pdf,uid
2016,5,Nagpur,Suspected Mumps,air-borne,9.0,44784235121465987444.pdf,
2016,6,Nagpur,Chickenpox,air-borne,13.0,77987201021489753657.pdf,MH/NAG/2017/6/0141
2016,6,Yavatmal,Measles & Rubella,air-borne,19.0,77987201021489753657.pdf,MH/YVT/2017/6/0142
2016,7,Akola,Measles,air-borne,,1544826741465987503.pdf,
2016,7,Kolhapur,Chickenpox,air-borne,174.0,072017.pdf,MH/KOP/2017/7/0187
2016,7,Kolhapur,Dengue,vector-borne,,1544826741465987503.pdf,
2016,7,Washim,Rubella,air-borne,,1544826741465987503.pdf,
2016,8,Thane,Jaundice,water-borne,,68623290411465987526.pdf,
2016,9,Ahmednagar,Measles,air-borne,13.0,092017.pdf,
2016,9,Akola,Measles,air-borne,15.0,092017.pdf,
2016,9,Nagpur,Chickenpox,air-borne,,9th_wk16.pdf,
2016,10,Akola,Measles,air-borne,13.0,10th_wk16.pdf,MH/AKL/2016/10/0507
2016,10,Yavatmal,Measles,air-borne,10.0,10th_wk16.pdf,MH/YVT/2016/10/0509
2016,11,Ahmednagar,Acute Diarrheal Disease,water-borne,,11th_wk16.pdf,
2016,11,Nagpur,Acute Diarrheal Disease,water-borne,,11th_wk16.pdf,
2016,12,Ahmednagar,Rubella,air-borne,,12th_wk16.pdf,
2016,14,Ahmednagar,Acute Diarrheal Disease,water-borne,71.0,rcntobrk.pdf,
2016,14,Washim,Cholera,water-borne,31.0,rcntobrk.pdf,
2016,15,Akola,Bacillary Dysentery,water-borne,22.0,25655158311465983344.pdf,
2016,21,Akola,Cholera,water-borne,21.0,24529831491467368085.pdf,
2016,21,Amravati,Cholera,water-borne,62.0,24529831491467368085.pdf,
2016,21,Aurangabad,Acute Diarrheal Disease,water-borne,60.0,24529831491467368085.pdf,
2016,21,Jalna,Acute Diarrheal Disease,water-borne,47.0,24529831491467368085.pdf,
2016,21,Nagpur,Acute Diarrheal Disease,water-borne,194.0,24529831491467368085.pdf,
2016,21,Nashik,Acute Diarrheal Disease,water-borne,409.0,24529831491467368085.pdf,
2016,22,Ahmednagar,Acute Diarrheal Disease,water-borne,,73651938401470919034.pdf,
2016,22,Beed,Suspected Enteric Fever,water-borne,,73651938401470919034.pdf,
2016,22,Nagpur,Acute Diarrheal Disease,water-borne,,73651938401470919034.pdf,
2016,23,Jalgaon,Cholera,water-borne,53.0,1017710531470919065.pdf,
2016,23,Nashik,Acute Diarrheal Disease,water-borne,158.0,1017710531470919065.pdf,
2016,23,Osmanabad,Acute Diarrheal Disease,water-borne,55.0,1017710531470919065.pdf,
2016,23,Yavatmal,Acute Diarrheal Disease,water-borne,10.0,1017710531470919065.pdf,
2016,24,Beed,Acute Diarrheal Disease,water-borne,,66156980721470919091.pdf,
2016,24,Bhandara,Acute Gastroenteritis,water-borne,,66156980721470919091.pdf,
2016,24,Gadchiroli,Acute Diarrheal Disease,water-borne,,66156980721470919091.pdf,
2016,24,Nashik,Dengue,vector-borne,,66156980721470919091.pdf,
2016,25,Amravati,Acute Gastroenteritis,water-borne,,72219634171470919115.pdf,
2016,25,Jalna,Acute Gastroenteritis,water-borne,,72219634171470919115.pdf,
2016,25,Kolhapur,Hepatitis E,water-borne,,72219634171470919115.pdf,
2016,25,Washim,Acute Gastroenteritis,water-borne,,72219634171470919115.pdf,
2016,26,Jalna,Acute Gastroenteritis,water-borne,17.0,33166532671470919134.pdf,
2016,26,Jalna,Acute Gastroenteritis,water-borne,13.0,33166532671470919134.pdf,
2016,26,Thane,Acute Gastroenteritis,water-borne,12.0,33166532671470919134.pdf,
2016,26,Thane,Acute Gastroenteritis,water-borne,23.0,33166532671470919134.pdf,
2016,27,Aurangabad,Acute Diarrheal Disease,water-borne,20.0,69286944421470997079.pdf,
2016,27,Aurangabad,Cholera,water-borne,9.0,69286944421470997079.pdf,
2016,27,Thane,Acute Diarrheal Disease,water-borne,25.0,69286944421470997079.pdf,
2016,28,Nagpur,Cholera,water-borne,858.0,81165166051471513557.pdf,
2016,28,Nashik,Acute Diarrheal Disease,water-borne,25.0,81165166051471513557.pdf,
2016,28,Nashik,Acute Diarrheal Disease,water-borne,62.0,81165166051471513557.pdf,
2016,28,Yavatmal,Acute Diarrheal Disease,water-borne,28.0,81165166051471513557.pdf,
2016,29,Bhandara,Acute Diarrheal Disease,water-borne,32.0,90160646731472206250.pdf,
2016,29,Thane,Acute Diarrheal Disease,water-borne,11.0,90160646731472206250.pdf,
2016,29,Thane,Acute Diarrheal Disease,water-borne,25.0,90160646731472206250.pdf,
2016,29,Wardha,Acute Diarrheal Disease,water-borne,26.0,90160646731472206250.pdf,
2016,30,Chandrapur,Acute Gastroenteritis,water-borne,16.0,31559774371473068473.pdf,
2016,30,Kolhapur,Malaria Vivax,vector-borne,18.0,31559774371473068473.pdf,
2016,30,Nagpur,Acute Gastroenteritis,water-borne,18.0,31559774371473068473.pdf,
2016,31,Amravati,Acute Diarrheal Disease,water-borne,13.0,58448966271473417376.pdf,
2016,31,Sholapur,Acute Diarrheal Disease,water-borne,160.0,58448966271473417376.pdf,
2016,31,Yavatmal,Acute Diarrheal Disease,water-borne,5.0,58448966271473417376.pdf,
2016,32,Jalgaon,Cholera,water-borne,46.0,322016.pdf,
2016,32,Kolhapur,Cholera,water-borne,50.0,322016.pdf,
2016,33,Beed,Dengue,vector-borne,34.0,332016.pdf,
2016,34,Amravati,Acute Gastroenteritis,water-borne,41.0,342016.pdf,
2016,35,Ahmednagar,Chikungunya,vector-borne,,352016.pdf,
2016,36,Nagpur,Dengue,vector-borne,,362016.pdf,
2016,36,Washim,Chikungunya,vector-borne,,362016.pdf,
2016,37,Gadchiroli,Acute Gastroenteritis,water-borne,,372016.pdf,
2016,37,Yavatmal,Acute Diarrheal Disease,water-borne,,372016.pdf,
2016,38,Beed,Chikungunya,vector-borne,5.0,382016.pdf,MH/BED/2016/38/2239
2016,38,Jalgaon,Dengue,vector-borne,60.0,382016.pdf,MH/JGA/2016/38/2263
2016,38,Nashik,Diarrhea,water-borne,22.0,382016.pdf,MH/NAS/2016/38/2265
2016,40,Kolhapur,Acute Diarrheal Disease,water-borne,49.0,402016.pdf,MH/KOP/2016/40/232 9
2016,41,Dhule,Acute Diarrheal Disease,water-borne,24.0,23840262681481707331.pdf,
2016,42,Kolhapur,Acute Diarrheal Disease,water-borne,47.0,92950886071481706669.pdf,
2016,43,Nagpur,Japanese Encephalitis,vector-borne,19.0,432016.pdf,MH/NAG/2016/43/244 0
2016,43,Washim,Measles,air-borne,6.0,432016.pdf,MH/WAS/2016/43/244 1
2016,45,Washim,Measles,air-borne,7.0,452016.pdf,MH/WAS/2016/45/249 2
2016,46,Beed,Dengue & Chikungunya,vector-borne,8.0,462016.pdf,MH/BED/2016/46/2512
2016,47,Ratnagiri,Dengue,vector-borne,40.0,472016.pdf,MH/RTG/2016/47/252 9
2016,48,Nagpur,Dengue,vector-borne,6.0,482016.pdf,MH/NAG/2016/48/255 9
2016,50,Akola,Chickenpox,air-borne,6.0,502016.pdf,
2016,50,Dhule,Acute Diarrheal Disease,water-borne,25.0,502016.pdf,
2016,52,Nagpur,Rubella,air-borne,15.0,89800766661487223603.pdf,MH/NAG/2016/52/267 1
